"group","condition","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_LAM","HR_TT","resp_RR","resp_DET","resp_NRLINE","resp_maxL","resp_L","resp_ENTR","resp_LAM","resp_TT","pair","HREmbed","HRDelay","HRRadius","respDelay","respEmbed","respRadius","study","trial"
"8_2_6_2","Conversation",7.90702450934111,98.3993315224855,12046,211,35.0951353146273,3.68654782140081,99.6310804803169,76.9732062578673,4.15169768937866,75.8973032125618,56951,30,3.14194658566136,1.46038721869611,89.0376735860741,3.95234598584124,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"9_1_6_2","Conversation",2.48155859481471,97.2670706111824,7747,117,16.9293920227185,3.33603957840131,98.1021529698822,28.8690528153645,3.58269311807708,71.9572376505284,49577,23,2.95292171773201,1.33169541910948,86.9992627181126,4.04617670590925,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"9_2_6_1","Conversation",0.768372711744655,91.0682634730539,6201,76,6.13143041444928,2.24488105164849,94.9892215568862,7.95387083834737,4.20494941702213,82.8683423651303,61416,40,3.22192913898658,1.50496142674991,89.369979814562,3.6521597754655,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"9_1_6_1","Conversation",2.3814400905778,96.3847693532308,12826,120,9.72392016217059,2.696619460455,97.4945323307341,11.8879570297776,3.48797055094935,78.4435884102165,51406,33,3.02248764735634,1.38126962841672,94.1223096768331,5.22122332381112,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"9_2_6_2","Conversation",0.680695403990127,87.2465257124317,5173,47,6.2379663638121,2.2799917234927,92.4511977505002,7.33934320669672,4.54210470057438,77.6634927035033,64247,38,3.11795103273305,1.43834185472493,90.3110122047672,3.78778171647858,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"10_1_7_2","Conversation",3.90140094129798,96.0780243885181,15290,155,13.3205362982341,3.01053291433514,97.6677595112862,15.5086891385768,4.22935645885873,86.7919657578735,57866,36,3.60228804479314,1.72205462894221,94.8257915160801,5.49206617150574,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"10_2_7_1","Conversation",4.00853142165883,96.9785038061394,17763,160,11.8912908855486,2.9501792544885,98.4385186817627,16.0494797514784,4.10084088070327,82.7206987469619,55860,43,3.44853204439671,1.63848574721428,92.4371119145976,4.13329493087558,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"10_1_7_1","Conversation",5.10431372722235,97.3585341054135,17495,202,15.4341240354387,3.21738691973307,98.6388842817275,17.902689614554,4.52777040616241,85.1270622826873,61498,41,3.55909135256431,1.69867255762587,92.3171462130228,4.70316431869068,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"10_2_7_2","Conversation",3.25219501538678,95.2079678569407,16066,140,10.4719282957799,2.82307229348021,98.3758700696056,14.2270234880105,4.49572075526587,85.172621798839,62626,39,3.47210423785648,1.65230118528169,92.3297479807911,4.10869792574516,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"5_1_7_2","Conversation",2.27856096581965,95.747413312656,11257,89,10.5305143466288,2.83870831286298,97.8716873843967,18.5704214559387,4.28500310547029,89.4658326894942,54646,61,3.9838048530542,1.88850001450021,94.7721631351405,5.54606671316226,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"5_2_7_1","Conversation",1.53600925801698,94.0162952312485,8597,88,9.12713737350238,2.7508644166471,95.5799185238438,11.0547394678492,3.81293992328159,81.7185082553978,51148,40,3.4593923516071,1.61561135692193,91.5099872993881,4.00796973926411,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"5_1_7_1","Conversation",4.66202551144636,96.6705353829634,21481,100,11.3998417205903,2.92309683188927,98.3629013793158,20.8839996647389,4.51718697748723,87.1961702343314,58156,39,3.84608638833482,1.82876117899393,92.4079105868227,4.8044509303174,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"5_2_7_2","Conversation",1.37195478250819,94.3511388941057,7108,55,9.89518851997749,2.88112733339224,96.2425884688649,11.8901226383825,3.7729482984541,81.5350005134093,52693,40,3.3152790693261,1.51818297168791,89.355157896702,3.70375314374154,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"6_1_7_2","Conversation",0.963971877742792,92.8080491809538,5646,73,8.60981225646475,2.61406585273971,95.5382030623544,13.2418629267002,5.06460205867939,90.2549695239618,62981,47,4.12149695940045,1.94155352851123,94.9332934635591,5.62567737415779,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"6_2_7_1","Conversation",4.51412986805522,97.3311915459193,13348,119,17.8852262511238,3.41922175898477,98.3186425199162,29.9384233395407,4.95380183700851,81.2190067220976,66639,40,3.42859286603941,1.62929454494195,89.3800811201837,4.22212520150457,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"6_1_7_1","Conversation",1.813396407991,96.1372954979093,9581,110,9.88685940924747,2.69532871021169,98.0727073438071,14.4898785425101,4.71591242274405,86.7465515567471,61051,40,3.80516289659465,1.81651399883068,91.7999118751914,4.72854917197207,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"6_2_7_2","Conversation",3.36670555460774,97.2951697898673,9756,154,18.2435424354244,3.37272797184656,98.3272472831435,30.7473504273504,4.74870168096897,82.6135487124718,64504,36,3.45372380007441,1.64312223479373,88.3625548831138,4.10364068473806,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"8_1_7_2","Conversation",4.5156390072735,97.5232311705249,14564,185,16.4297583081571,3.22798048264459,98.3253179002282,19.2846522781775,4.84039537998999,81.4756740434604,67610,36,3.31242419760391,1.54336817929384,94.6636785983243,5.55312973515163,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"8_2_7_1","Conversation",5.05285576070647,97.4886177381169,14377,280,18.616888085136,3.3591797961461,99.0096521580769,33.8266550522648,4.14743614239132,79.2624830163044,55667,40,3.35349488925216,1.57435041743986,89.0090013586957,3.930367287249,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"8_1_7_1","Conversation",6.7182829087591,98.0815906114913,20369,266,17.5776424959497,3.34133534915938,98.7368576766509,20.6078330474557,4.68907524254278,80.3288292686591,64154,35,3.33413349128659,1.56015744206112,92.2742397043691,4.78148169770565,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
